YEAR,SOURCE,Data Source ID,ORG_UNIT,ORG_NAME,ORG_TYPE,ORG_PART,ENERGY_TYPE,ENERGY_UNIT,SUB_SECTOR,CATEGORY,SUB_CATEGORY,CONSUMPTION_TOTAL,CONNECTION_TOTAL,EMISSIONS_TCO2e,EMISSIONS_TCO2eWithimports
2020,BC Hydro,9080,5923008,Port Alberni,City,1005923,ELEC,kWh,Res,Res-Total,Res-Total-Total,96371327.18,8739,1027.960823,3755.269382
2020,BC Hydro,9080,5923025,Tofino,District Municipality,1005923,ELEC,kWh,Res,Res-Total,Res-Total-Total,21533683.27,1315,229.6926215,839.095858
2020,BC Hydro,9080,5923019,Ucluelet,District Municipality,1005923,ELEC,kWh,Res,Res-Total,Res-Total-Total,16019658.48,1234,170.8763571,624.232692
2020,BC Hydro,9080,2005923,Alberni-Clayoquot Unincorporated Areas,Regional District Unincorporated Areas,1005923,ELEC,kWh,Res,Res-Total,Res-Total-Total,77190638.91,5538,823.3668151,3007.861896
2020,BC Hydro,9080,1005923,Alberni-Clayoquot,Regional District,9000000,ELEC,kWh,Res,Res-Total,Res-Total-Total,211115307.8,16826,2251.896617,8226.459829
2020,BC Hydro,9080,5951022,Burns Lake,Village,1005951,ELEC,kWh,Res,Res-Total,Res-Total-Total,8150521.254,879,86.93889337,317.5986449
2020,BC Hydro,9080,5951013,Fort St. James,District Municipality,1005951,ELEC,kWh,Res,Res-Total,Res-Total-Total,7374658.269,811,78.66302154,287.3658506
2020,BC Hydro,9080,5951009,Fraser Lake,Village,1005951,ELEC,kWh,Res,Res-Total,Res-Total-Total,4103444.549,540,43.77007519,159.8975559
2020,BC Hydro,9080,5951032,Granisle,Village,1005951,ELEC,kWh,Res,Res-Total,Res-Total-Total,3030178.895,264,32.32190821,118.0759709
2020,BC Hydro,9080,5951034,Houston,District Municipality,1005951,ELEC,kWh,Res,Res-Total,Res-Total-Total,14878431.38,1530,158.703268,579.762876
2020,BC Hydro,9080,5951043,Smithers,Town,1005951,ELEC,kWh,Res,Res-Total,Res-Total-Total,24397704.17,2543,260.2421778,950.6972059
2020,BC Hydro,9080,5951038,Telkwa,Village,1005951,ELEC,kWh,Res,Res-Total,Res-Total-Total,6258315.245,579,66.75536261,243.865684
2020,BC Hydro,9080,5951007,Vanderhoof,District Municipality,1005951,ELEC,kWh,Res,Res-Total,Res-Total-Total,22588231.58,1984,240.9411369,880.1880906
